Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_variance_reduction_method,500,5,291396.7343857143,0.0039967775344848635,149062571806.7113,0.18076608357622734,"1289744.4889170185, 1584307.816972942, 1574663.7793299642, 2053418.0009633098, 1517171.7010796461, 1693391.2432854576, 1191454.3399803923, 1628223.5072056663, 1516523.4472142665, 1296723.2712437653, 1547227.6745320035, 1931833.377074911, 810403.7281100246, 2529512.0235911054, 1933461.0626773804, 2012111.6055979065, 1789796.6351312997, 2321186.025348365, 1478446.7285042668, 1482351.8172768273"
estimate_variance_reduction_method,500,100,134438.75436130032,0.004072082042694092,29486591102.84953,0.08339821363471708,"1707754.5873669612, 1273523.9413528207, 1337430.2162517344, 1261782.2711589348, 1552709.6061079598, 1673342.2451947236, 1673872.8752521242, 1399097.8058577513, 1718485.067876464, 1418551.739228362, 1620259.0653919997, 1587184.963851205, 1649445.826714218, 1516371.2357551036, 1625187.768181135, 1637933.0004072143, 1904732.5239771435, 1610194.014468429, 1423986.532990395, 1858594.4538867183"
estimate_variance_reduction_method,500,500,55908.704450590376,0.004123234748840332,3703606317.0948334,0.03468260398545318,"1608596.5079040395, 1561374.603674617, 1649224.7184630067, 1668309.5512274269, 1444122.0951846652, 1496730.8041774025, 1591855.277880121, 1505808.8341339899, 1643626.1611971324, 1658440.7230290405, 1653178.1427113602, 1514189.9661807457, 1567380.186306543, 1588623.9241573045, 1571042.4704211268, 1602510.783491294, 1511860.973951606, 1536890.3770027875, 1575261.5747459957, 1625563.171596079"
estimate_variance_reduction_method,500,1000,34700.67813204811,0.004119658470153808,1701736088.890046,0.02152634172991986,"1719635.2992918503, 1571869.9685412783, 1544762.3066972734, 1627829.2977197187, 1630649.322207046, 1586845.0584349337, 1593978.0530539372, 1550554.124033304, 1574865.3391422993, 1538407.5856879402, 1582227.0203991735, 1572958.6560713223, 1589356.2797363894, 1611640.4672791103, 1534345.4166214985, 1598369.974717987, 1612742.1948837256, 1616482.2256355842, 1639752.307356931, 1598976.8340374466"
estimate_variance_reduction_method,500,2000,31157.373780439095,0.004716336727142334,1640721538.2600873,0.0193282757429787,"1600840.816351643, 1588880.2096888216, 1602346.9666558504, 1583801.9862605657, 1646530.0851101018, 1568036.5844607027, 1707595.5891966487, 1615258.3702068834, 1592063.4033946602, 1572583.5504460626, 1648561.428243087, 1522541.5098535456, 1551306.8332252046, 1550727.9011980295, 1645134.0381622182, 1606827.7712579686, 1613004.27572192, 1612623.275650828, 1631733.6860576821, 1618644.2600524675"
estimate_variance_reduction_method,500,3000,37546.73322928794,0.004953563213348389,1519117016.2693326,0.023291873641781338,"1618866.0030426977, 1566885.1000533665, 1685480.3561059998, 1600784.696862503, 1556638.3947829397, 1557861.7700103351, 1575749.0786252238, 1589067.9145351083, 1562617.941864608, 1608659.2983743204, 1614562.19101172, 1579181.7139745234, 1620847.0316689087, 1572834.7815678015, 1549709.5794602493, 1649308.123258192, 1531841.5863187965, 1661855.3856560474, 1563397.073595197, 1580835.4961328346"
estimate_variance_reduction_method,500,4000,31234.220924066285,0.004843616485595703,1052659919.4532804,0.01937594737257603,"1584103.764246845, 1647942.3618213187, 1582069.9025075575, 1564135.1746547215, 1618262.5765515587, 1637301.4827704802, 1572413.5169665993, 1589054.685364155, 1652188.5341154037, 1564056.7010311603, 1567881.9122579556, 1577955.1007825893, 1616497.098552781, 1570859.3952421395, 1579903.81605021, 1656038.941648475, 1594298.1853855315, 1618156.1140231397, 1617474.688834809, 1540485.2253471755"
estimate_variance_reduction_method,1000,5,450957.0332848264,0.0039662480354309086,372139595660.24695,0.27974828523695655,"1625304.053541909, 2085581.049193861, 2618062.3873732076, 1108258.3884094935, 989705.4361596036, 1604634.7042331574, 1804267.3240412858, 39726.38769458017, 2015952.646242939, 1315049.5654820642, 1879958.9350401342, 1736671.188243599, 1694977.9785414515, 874493.3019310641, 2178033.505585671, 1314511.4826584996, 1694728.8624785186, 1660791.5600928932, 1120272.4508825634, 2839502.8927720836"
estimate_variance_reduction_method,1000,100,127381.10390105261,0.004092013835906983,15962170248.793285,0.07902004571997231,"1579128.1007798545, 1435565.8819839621, 1533090.7180787781, 1434380.2725385872, 1562387.8263586154, 1705455.3221300442, 1456217.3681627575, 1493933.5451310382, 1618062.2732159588, 1376508.1054621555, 1717266.9727085705, 1380552.7922490863, 1723552.8564008225, 1538219.387680949, 1698668.923646596, 1513067.7252903143, 1353757.7200126918, 1640915.4705873204, 1513904.082999545, 1281666.213939926"
estimate_variance_reduction_method,1000,500,53213.18696571064,0.0040872454643249515,3935475739.8758674,0.03301045710988805,"1553296.3556544073, 1540276.9695937305, 1627788.9482378184, 1737946.5353712167, 1676444.7700487596, 1620243.308145958, 1525992.4489223883, 1673828.031216318, 1671879.5479356765, 1502142.3422496004, 1567716.0503733663, 1663866.286694416, 1604461.0631613983, 1553356.9949962844, 1639290.939710252, 1639707.099676162, 1617534.3071146198, 1711901.2470689034, 1682638.9039732574, 1620496.0390720305"
estimate_variance_reduction_method,1000,1000,38708.54433622168,0.004298496246337891,2090981407.3641968,0.024012595663936133,"1643638.8756543454, 1639164.9721521868, 1677704.0915135816, 1600325.2040600532, 1663760.7787997944, 1571946.40430437, 1654405.1303756072, 1587305.6624070164, 1545238.224462675, 1635377.4528448859, 1541239.8142505947, 1654359.277216077, 1598606.2742152263, 1624878.2908382295, 1659376.999100236, 1572748.611923956, 1629696.5199886186, 1600680.9312454658, 1588159.5152368972, 1501940.859652874"
estimate_variance_reduction_method,1000,2000,34979.924116753115,0.0045823812484741214,1794109733.1668067,0.021699570174349484,"1607519.782814976, 1586477.903127637, 1691001.5200477934, 1656124.6873962313, 1631261.8161186113, 1627510.7906343834, 1509508.2184118126, 1575515.744697946, 1575004.5959633589, 1611115.5937840033, 1562757.8116896686, 1575587.1041940728, 1672294.4797732385, 1563626.308963959, 1584195.698623947, 1585334.0339067003, 1635723.413497825, 1651415.2269340511, 1619414.2081607655, 1627475.1359502443"
estimate_variance_reduction_method,1000,3000,26154.087620086957,0.004995334148406983,583425543.9568007,0.016224519463332705,"1580064.9784835195, 1551486.1016291317, 1620111.4574194404, 1621217.429454941, 1623754.322190006, 1551090.2906991832, 1623549.9186264875, 1587890.2685450714, 1582983.3977518314, 1585853.8410455296, 1561148.3028772038, 1614382.5990138303, 1635342.2484698966, 1577285.9860324366, 1591364.7251167381, 1591784.7686764924, 1601270.3503108395, 1587893.203507917, 1564463.442652704, 1596776.5654442646"
estimate_variance_reduction_method,1000,4000,24314.614400456485,0.004863619804382324,812759214.8283589,0.015083414123024353,"1551626.0698465963, 1615314.7488530502, 1574953.566439369, 1604076.8514451105, 1603559.834551506, 1622789.525393286, 1611984.5162313993, 1537713.0009972919, 1592174.7512386637, 1591335.8962023386, 1617238.3157826252, 1627165.7723417974, 1591782.8707961042, 1631455.783688015, 1626250.1289592432, 1602117.3309857363, 1594870.7980853422, 1555975.446176393, 1556169.891747998, 1642358.8377349616"
